City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Hurricane,US,2021-05-20 23:01:22,37.1753,-113.2899,86.7,14,5,32.26
68,Tessalit,ML,2021-05-20 23:01:22,20.1986,1.0114,89.22,23,5,15.3
69,Port Alfred,ZA,2021-05-20 23:01:22,-33.5906,26.891,61.68,57,37,18.9
70,Goderich,CA,2021-05-20 23:00:25,43.7501,-81.7165,82.2,75,100,9.1
71,Salalah,OM,2021-05-20 23:01:23,17.0151,54.0924,80.8,77,30,2.33
72,Hithadhoo,MV,2021-05-20 23:01:23,-0.6,73.0833,83.08,74,77,8.19
73,Esperance,AU,2021-05-20 23:01:24,-33.8667,121.9,61.0,69,6,12.57
74,Tura,IN,2021-05-20 23:01:24,25.5198,90.2201,72.57,96,90,2.3
75,Inverell,AU,2021-05-20 23:01:24,-29.7833,151.1167,61.66,67,51,1.01
76,Kodiak,US,2021-05-20 23:01:25,57.79,-152.4072,42.76,98,100,16.91
77,Santa Eulalia,PE,2021-05-20 23:01:25,-11.85,-76.6833,35.24,64,31,2.98
78,Poum,NC,2021-05-20 23:01:25,-20.2333,164.0167,75.83,71,46,23.91
79,Torbay,CA,2021-05-20 23:01:25,47.6666,-52.7314,49.75,84,79,1.99
80,Onokhoy,RU,2021-05-20 23:01:26,51.932,108.0747,40.75,96,100,6.91
81,Souillac,MU,2021-05-20 23:01:26,-20.5167,57.5167,72.36,71,56,22.88
82,Poyarkovo,RU,2021-05-20 23:01:26,49.6,128.6833,62.83,75,88,6.31
83,Tonj,SS,2021-05-20 23:01:27,7.2737,28.6822,77.99,71,53,4.63
84,Ballina,AU,2021-05-20 23:01:27,-28.8667,153.5667,60.94,74,53,8.19
85,Nikolskoye,RU,2021-05-20 23:01:27,59.7035,30.7861,53.49,98,99,2.64
86,Severo-Kurilsk,RU,2021-05-20 23:01:27,50.6789,156.125,42.82,81,12,3.47
87,Arraial Do Cabo,BR,2021-05-20 23:01:28,-22.9661,-42.0278,70.65,77,1,4.74
88,Chuy,UY,2021-05-20 23:01:28,-33.6971,-53.4616,55.63,82,100,4.0
89,Lorengau,PG,2021-05-20 23:01:28,-2.0226,147.2712,83.52,71,58,1.95
90,Cape Town,ZA,2021-05-20 22:57:06,-33.9258,18.4232,59.88,80,75,7.0
91,Mountain Home,US,2021-05-20 23:01:29,43.133,-115.6912,62.94,30,89,16.26
92,Balkanabat,TM,2021-05-20 23:01:29,39.5108,54.3671,77.72,38,0,2.77
93,Kavieng,PG,2021-05-20 23:01:29,-2.5744,150.7967,83.08,73,42,4.59
94,Ixtapa,MX,2021-05-20 23:00:13,20.7,-105.2,81.23,72,1,5.99
95,Jalu,LY,2021-05-20 23:01:30,29.0331,21.5482,80.56,25,68,13.62
96,Narsaq,GL,2021-05-20 23:01:30,60.9167,-46.05,41.22,73,100,7.2
97,Iralaya,HN,2021-05-20 23:01:30,15.0,-83.2333,81.19,82,60,11.03
98,Umm Kaddadah,SD,2021-05-20 23:01:31,13.6017,26.6876,90.66,22,96,1.07
99,Hilo,US,2021-05-20 23:00:13,19.7297,-155.09,85.28,78,98,4.0
100,Bonthe,SL,2021-05-20 23:01:31,7.5264,-12.505,80.04,82,24,6.44
101,Caravelas,BR,2021-05-20 23:01:31,-17.7125,-39.2481,73.02,82,2,6.85
102,Bethel,US,2021-05-20 23:01:32,41.3712,-73.414,73.51,50,97,6.71
103,Luderitz,NA,2021-05-20 23:01:32,-26.6481,15.1594,59.76,91,38,8.16
104,Morondava,MG,2021-05-20 23:01:32,-20.2833,44.2833,70.0,58,0,11.01
105,Flin Flon,CA,2021-05-20 23:00:25,54.7682,-101.865,44.55,33,100,8.77
106,Rawson,AR,2021-05-20 23:01:33,-43.3002,-65.1023,55.58,84,97,10.27
107,Chandbali,IN,2021-05-20 23:01:33,20.7833,86.7667,84.42,82,76,7.0
108,Bluff,NZ,2021-05-20 23:01:33,-46.6,168.3333,48.79,61,69,19.55
109,Dikson,RU,2021-05-20 23:01:34,73.5069,80.5464,8.71,83,54,5.82
110,Shreveport,US,2021-05-20 23:01:34,32.5251,-93.7502,79.09,92,90,10.71
111,Otane,NZ,2021-05-20 23:01:34,-39.8833,176.6333,58.39,53,0,2.19
112,Mount Isa,AU,2021-05-20 23:00:58,-20.7333,139.5,71.37,40,10,5.75
113,Nueva Germania,PY,2021-05-20 23:01:35,-23.9,-56.5667,79.66,39,51,4.12
114,Vila Velha,BR,2021-05-20 23:01:36,-20.3297,-40.2925,74.95,91,19,1.99
115,Kurud,IN,2021-05-20 23:01:36,20.8322,81.7214,84.29,56,56,4.41
116,Barrow,US,2021-05-20 22:56:43,71.2906,-156.7887,30.2,93,100,10.67
117,Marseille,FR,2021-05-20 23:01:37,43.3333,5.5,55.87,74,69,4.0
118,Alice Springs,AU,2021-05-20 23:01:34,-23.7,133.8833,49.55,34,31,6.06
119,Okhotsk,RU,2021-05-20 23:01:37,59.3833,143.3,38.52,76,46,4.29
120,Visnes,NO,2021-05-20 23:01:38,59.3556,5.2242,43.21,81,56,4.61
121,Erenhot,CN,2021-05-20 23:01:38,43.6475,111.9767,68.07,28,59,19.64
122,Nata,PA,2021-05-20 23:01:38,8.3333,-80.5167,84.47,70,62,4.88
123,Hay River,CA,2021-05-20 23:00:09,60.8156,-115.7999,49.44,52,70,5.39
124,Uruzgan,AF,2021-05-20 23:01:39,32.8333,66.0,61.86,26,0,7.65
125,Ornskoldsvik,SE,2021-05-20 23:01:39,63.2909,18.7153,49.15,80,90,11.92
126,Kangaatsiaq,GL,2021-05-20 23:01:39,68.3065,-53.4641,29.55,69,100,10.78
127,Kapoeta,SS,2021-05-20 23:01:40,4.7717,33.5903,77.76,59,89,4.07
128,Daru,PG,2021-05-20 23:01:40,-9.0763,143.2092,79.54,87,81,18.16
129,Esso,RU,2021-05-20 23:01:40,55.9333,158.7,38.62,99,100,3.76
130,Sterling,US,2021-05-20 22:59:01,39.0062,-77.4286,83.88,51,75,4.0
131,Rocha,UY,2021-05-20 23:00:26,-34.4833,-54.3333,52.02,92,83,3.67
132,Tasiilaq,GL,2021-05-20 23:01:41,65.6145,-37.6368,30.36,73,79,4.92
133,Wete,TZ,2021-05-20 23:01:41,-5.0559,39.7294,75.24,82,90,9.19
134,Qeshm,IR,2021-05-20 23:01:41,26.9581,56.2719,84.47,74,34,2.21
135,Luganville,VU,2021-05-20 23:01:42,-15.5333,167.1667,80.85,78,53,6.13
136,Iracoubo,GF,2021-05-20 23:01:42,5.4802,-53.2011,77.05,90,100,9.91
137,East London,ZA,2021-05-20 22:57:40,-33.0153,27.9116,66.34,45,26,16.84
138,Landerneau,FR,2021-05-20 23:01:42,48.4525,-4.2525,54.63,77,90,21.9
139,Ust-Tsilma,RU,2021-05-20 23:01:43,65.441,52.1498,63.27,50,3,5.19
140,Saint George,US,2021-05-20 23:00:09,37.1041,-113.5841,93.67,12,0,17.0
141,Faya,SA,2021-05-20 23:01:43,18.3851,42.4509,71.08,20,5,4.97
142,Bay Roberts,CA,2021-05-20 23:01:43,47.5999,-53.2648,50.02,81,75,5.99
143,Akdepe,TM,2021-05-20 23:01:44,42.0551,59.3788,71.6,22,2,7.85
144,Ilulissat,GL,2021-05-20 23:01:44,69.2167,-51.1,30.22,64,75,9.22
145,Yumen,CN,2021-05-20 23:01:44,40.2833,97.2,62.74,21,100,7.02
146,Sampit,ID,2021-05-20 23:01:45,-2.5333,112.95,74.48,97,99,0.69
147,Barra Patuca,HN,2021-05-20 23:01:45,15.8,-84.2833,83.25,76,43,13.67
148,Komsomolskiy,UZ,2021-05-20 23:01:45,40.4272,71.7189,69.15,52,50,4.61
149,Sabattus,US,2021-05-20 23:01:46,44.1198,-70.1076,68.68,67,1,7.25
150,Valparaiso,CL,2021-05-20 23:00:47,-33.0393,-71.6273,56.43,77,98,5.12
151,Bauchi,NG,2021-05-20 23:01:46,10.5,10.0,84.02,44,100,5.46
152,Saint-Paul,RE,2021-05-20 22:58:01,-21.0096,55.2707,73.51,73,56,5.37
153,Airai,TL,2021-05-20 23:01:47,-8.9266,125.4092,62.22,83,77,2.98
154,Ribeira Grande,PT,2021-05-20 23:01:47,38.5167,-28.7,60.42,66,99,16.96
155,Puerto Carreno,CO,2021-05-20 22:58:20,6.189,-67.4859,83.28,70,61,4.76
156,Mehamn,NO,2021-05-20 23:01:47,71.0357,27.8492,36.72,79,100,11.72
157,Olafsvik,IS,2021-05-20 23:01:47,64.8945,-23.7142,40.17,62,14,8.37
158,Saint-Pierre,RE,2021-05-20 23:01:29,-21.3393,55.4781,73.08,75,75,24.16
159,Rudnya,RU,2021-05-20 23:01:48,54.947,31.0934,46.96,94,100,18.88
160,Santo Angelo,BR,2021-05-20 23:01:48,-28.2992,-54.2631,64.15,55,87,10.78
161,Nouadhibou,MR,2021-05-20 23:01:49,20.931,-17.0347,65.82,93,0,18.63
162,Hohhot,CN,2021-05-20 23:01:49,40.8106,111.6522,63.01,49,46,2.68
163,Namibe,AO,2021-05-20 23:01:49,-15.1961,12.1522,72.19,58,0,8.9
164,Kampene,CD,2021-05-20 23:01:49,-3.6,26.6667,70.09,89,53,2.17
165,Geraldton,AU,2021-05-20 23:01:50,-28.7667,114.6,52.21,44,0,4.18
166,Nanortalik,GL,2021-05-20 23:01:50,60.1432,-45.2371,37.17,74,100,10.38
167,Kloulklubed,PW,2021-05-20 23:01:50,7.0419,134.2556,83.59,71,100,6.42
168,Atambua,ID,2021-05-20 23:01:51,-9.1061,124.8925,73.85,82,66,4.27
169,Constitucion,CL,2021-05-20 23:01:51,-35.3333,-72.4167,53.49,74,100,1.99
170,Bilibino,RU,2021-05-20 23:01:51,68.0546,166.4372,33.6,90,100,3.4
171,Igarka,RU,2021-05-20 23:01:52,67.4667,86.5833,23.99,92,93,3.22
172,Biltine,TD,2021-05-20 23:01:52,14.5333,20.9167,94.01,22,71,10.56
173,Mongar,BT,2021-05-20 23:01:52,27.2747,91.2396,61.12,94,83,1.61
174,Pochutla,MX,2021-05-20 23:01:53,15.7432,-96.4661,88.83,50,8,7.43
175,Roebourne,AU,2021-05-20 23:01:53,-20.7833,117.1333,70.29,23,0,11.88
176,Avarua,CK,2021-05-20 23:01:54,-21.2078,-159.775,80.65,65,20,10.36
177,Yerbogachen,RU,2021-05-20 23:01:54,61.2767,108.0108,40.73,52,3,2.24
178,Juazeiro,BR,2021-05-20 23:01:54,-9.4117,-40.4986,77.81,53,1,11.43
179,Broken Hill,AU,2021-05-20 23:01:54,-31.95,141.4333,56.59,41,100,9.19
180,Cherskiy,RU,2021-05-20 23:01:55,68.75,161.3,35.29,78,100,8.63
181,Mar Del Plata,AR,2021-05-20 23:01:55,-38.0023,-57.5575,58.12,29,83,4.0
182,Cidreira,BR,2021-05-20 23:01:55,-30.1811,-50.2056,60.55,70,79,2.77
183,Padang,ID,2021-05-20 23:01:56,-0.9492,100.3543,75.25,87,61,3.42
184,Kununurra,AU,2021-05-20 23:01:56,-15.7667,128.7333,66.18,88,71,0.0
185,Fairbanks,US,2021-05-20 23:00:03,64.8378,-147.7164,66.09,31,97,1.99
186,Faanui,PF,2021-05-20 23:01:56,-16.4833,-151.75,81.7,74,62,19.06
187,Avila,ES,2021-05-20 23:01:57,40.5833,-5.0,53.1,65,85,3.65
188,Amga,RU,2021-05-20 23:01:57,60.8953,131.9608,39.76,90,100,5.5
189,Gannan,CN,2021-05-20 23:01:57,47.9147,123.5031,66.63,43,1,7.43
190,Kapaa,US,2021-05-20 23:01:58,22.0752,-159.319,80.47,68,84,3.0
191,Saskylakh,RU,2021-05-20 23:01:58,71.9167,114.0833,23.31,95,94,4.52
192,Puerto Ayora,EC,2021-05-20 23:01:23,-0.7393,-90.3518,76.55,89,84,5.99
193,Castro,BR,2021-05-20 23:01:58,-24.7911,-50.0119,57.34,70,2,2.77
194,Camacupa,AO,2021-05-20 23:01:59,-12.0167,17.4833,59.65,61,1,2.95
195,Inhambane,MZ,2021-05-20 23:01:59,-23.865,35.3833,69.71,83,27,9.28
196,Bereda,ES,2021-05-20 23:01:59,43.2686,-7.5406,58.57,99,96,1.86
197,Springfield,US,2021-05-20 22:57:10,37.2153,-93.2982,73.22,95,90,1.99
198,Sorland,NO,2021-05-20 23:02:00,67.667,12.6934,42.89,84,33,8.97
199,Carnarvon,AU,2021-05-20 23:02:00,-24.8667,113.6333,70.79,40,0,7.85
200,Grand Gaube,MU,2021-05-20 23:02:00,-20.0064,57.6608,72.37,72,61,5.99
201,Ust-Kulom,RU,2021-05-20 23:02:00,61.6864,53.6902,56.17,65,3,4.23
202,Hervey Bay,AU,2021-05-20 23:02:01,-25.2986,152.8535,65.01,78,14,4.0
203,Khuzhir,RU,2021-05-20 23:02:01,53.1939,107.3397,34.09,97,100,6.06
204,Vestmannaeyjar,IS,2021-05-20 23:02:01,63.4427,-20.2734,41.76,74,89,3.38
205,Leningradskiy,RU,2021-05-20 23:02:02,69.3833,178.4167,36.05,77,35,4.34
206,Norman Wells,CA,2021-05-20 23:02:02,65.282,-126.8329,61.14,28,2,6.73
207,Sao Filipe,CV,2021-05-20 23:02:02,14.8961,-24.4956,72.88,79,99,5.32
208,Santa Cruz Del Sur,CU,2021-05-20 23:02:03,20.7147,-77.9956,77.05,86,95,17.45
209,Ulladulla,AU,2021-05-20 23:02:03,-35.35,150.4667,52.09,73,74,7.2
210,Provideniya,RU,2021-05-20 23:02:03,64.3833,-173.3,30.31,80,40,8.95
211,Ostrovnoy,RU,2021-05-20 23:02:04,68.0531,39.5131,40.98,94,84,10.71
212,Vila Franca Do Campo,PT,2021-05-20 23:02:04,37.7167,-25.4333,59.41,89,92,9.93
213,Muros,ES,2021-05-20 23:02:05,42.7762,-9.0603,61.3,91,99,8.93
214,Kilis,TR,2021-05-20 23:02:05,36.7161,37.115,64.63,40,0,4.97
215,Lebu,CL,2021-05-20 23:02:05,-37.6167,-73.65,51.31,82,65,7.9
216,Brewster,US,2021-05-20 23:02:06,41.3973,-73.6171,73.74,44,98,1.01
217,Deer Lake,CA,2021-05-20 23:02:06,49.1667,-57.4316,53.62,67,42,8.05
218,Aripuana,BR,2021-05-20 23:02:06,-9.1667,-60.6333,79.9,73,100,1.61
219,Along,IN,2021-05-20 23:02:07,28.1667,94.7667,72.16,100,100,1.45
220,Los Llanos De Aridane,ES,2021-05-20 23:02:07,28.6585,-17.9182,73.13,38,0,16.84
221,Mount Gambier,AU,2021-05-20 23:02:07,-37.8333,140.7667,50.29,86,3,5.12
222,Nizhniy Kuranakh,RU,2021-05-20 23:02:08,58.8353,125.4869,38.59,59,96,6.82
223,Kavaratti,IN,2021-05-20 23:02:08,10.5669,72.642,82.81,76,92,9.57
224,Lata,PT,2021-05-20 23:02:08,40.1629,-8.3327,62.71,92,100,1.63
225,Vanavara,RU,2021-05-20 23:02:09,60.34,102.2797,37.98,57,25,2.77
226,Kamenka,RU,2021-05-20 23:02:10,51.3223,42.7678,52.21,93,21,8.86
227,Thompson,CA,2021-05-20 23:00:09,55.7435,-97.8558,32.0,59,90,12.66
228,Houma,US,2021-05-20 23:02:10,29.5958,-90.7195,78.8,97,90,23.02
229,Carlos Antonio Lopez,PY,2021-05-20 23:02:11,-26.4,-54.7667,64.49,64,9,1.66
230,Kota Belud,MY,2021-05-20 23:02:11,6.351,116.4305,78.66,85,100,4.34
231,Batagay-Alyta,RU,2021-05-20 23:02:11,67.8006,130.4114,31.41,64,76,4.97
232,Ahipara,NZ,2021-05-20 23:02:12,-35.1667,173.1667,64.53,60,84,4.56
233,Sola,VU,2021-05-20 23:01:15,-13.8833,167.55,80.67,78,94,13.44
