City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
196,Pauini,BR,74.84,broken clouds,-7.7136,-66.9764,Casa do Kiwliks
200,Guntur,IN,87.26,overcast clouds,16.3,80.45,Hotel Murugan Residency
201,Bilma,NE,86.29,clear sky,18.6853,12.9164,Expeditions Ténére voyages
212,Bambanglipuro,ID,77.31,broken clouds,-7.95,110.2833,Puri Brata
213,Maiduguri,NG,84.92,broken clouds,11.8464,13.1603,Kagel Mari Police Station
214,Isangel,VU,74.88,broken clouds,-19.55,169.2667,Tanna Lodge
217,Kahului,US,87.82,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
220,Puerto Gaitan,CO,79.5,broken clouds,4.3133,-72.0816,Brisas del Yucao
221,Hambantota,LK,81.59,overcast clouds,6.1241,81.1185,Bungalow 63
222,Jiwani,PK,82.94,light rain,25.05,61.7417,Al Mumtaz Transport Jiwani
223,Mareeba,AU,71.44,overcast clouds,-17.0,145.4333,Trinity Plains Tourist Park
224,Malakal,SS,84.15,broken clouds,9.5334,31.6605,Nile Palace Hotel
226,Hasaki,JP,73.29,overcast clouds,35.7333,140.8333,Hotel Sunrise Choshi
227,Sur,OM,85.77,clear sky,22.5667,59.5289,Sur Plaza Hotel
231,Dergaon,IN,81.12,clear sky,26.7,93.9667,DKD college Boys Hostel
233,Petatlan,MX,87.6,scattered clouds,17.5167,-101.2667,Hotel California Petatlán
235,Biak,ID,78.24,broken clouds,-0.9131,122.8766,Penginapan Kim
238,Bathsheba,BB,81.21,broken clouds,13.2167,-59.5167,Atlantis Hotel
239,Esmeralda,CU,78.04,scattered clouds,21.8525,-78.1169,Centro de Pioneros Exploradores
240,Abu Kamal,SY,72.97,clear sky,34.4506,40.9171,محطة التلفاز
244,Veraval,IN,82.78,clear sky,20.9,70.3667,Lords Inn Somnath
249,Alice Springs,AU,74.21,clear sky,-23.7,133.8833,Desert Palms Alice Springs
251,Kerman,IR,72.79,broken clouds,30.2832,57.0788,هتل آپارتمان آسام
252,Samarai,PG,80.67,overcast clouds,-10.6167,150.6667,Nuli Sapi
253,Westport,US,83.98,clear sky,41.1415,-73.3579,The Westport Inn
255,Kloulklubed,PW,82.9,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
257,Port-Gentil,GA,79.29,overcast clouds,-0.7193,8.7815,Fengshui Residence
258,Bokajan,IN,79.75,few clouds,26.0167,93.7833,Priyanka Lodge
260,Umarkot,PK,83.35,clear sky,25.3616,69.7362,Al-Qamar Boys Hostel
262,Dawlatabad,AF,71.91,clear sky,36.4141,64.9053,WASIM ASGAR KHAN
263,Mirador,BR,76.51,scattered clouds,-6.3708,-44.3631,Pousada Restaurante e Pizzaria Povo
266,Puri,IN,88.38,light rain,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
267,Tucurui,BR,79.21,overcast clouds,-3.7661,-49.6725,BBB Rooms Centro Tucurui PA
269,Brewster,US,79.36,scattered clouds,41.3973,-73.6171,Heidi's Inn
272,Padang,ID,77.05,broken clouds,-0.9492,100.3543,Mercure Padang
273,Yangshe,CN,70.03,overcast clouds,31.8899,120.6052,Jindongmen Hotel
278,West Lafayette,US,84.58,overcast clouds,40.4259,-86.9081,Hilton Garden Inn West Lafayette Wabash Landing
280,Pemangkat,ID,78.73,broken clouds,1.1667,108.9667,Ramah Kost KITA
281,Grand Gaube,MU,72.0,light rain,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
283,Quesnel,CA,72.46,overcast clouds,52.9999,-122.5029,Ramada by Wyndham Quesnel
284,Jalu,LY,74.68,clear sky,29.0331,21.5482,صاحبة الفخامة
288,Koumac,NC,74.86,scattered clouds,-20.5667,164.2833,Le Monitel
289,Itaituba,BR,76.82,overcast clouds,-4.2761,-55.9836,Hotel Campos
290,Poum,NC,73.94,scattered clouds,-20.2333,164.0167,Gîte kajeon
291,Qostanay,KZ,70.9,scattered clouds,53.1667,63.5833,Hotel Fessla
292,Mount Isa,AU,74.97,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
296,Khao Yoi,TH,85.98,broken clouds,13.2403,99.8243,เปิ้ล ทำเบาะ
301,Odienne,CI,75.87,light rain,9.51,-7.5692,Oustaz Vame DIAKITE
302,Fortuna,US,76.48,clear sky,40.5982,-124.1573,Super 8 by Wyndham Fortuna
304,Isla Vista,US,82.35,clear sky,34.4133,-119.861,Best Western Plus South Coast Inn
311,Georgetown,MY,82.89,few clouds,5.4112,100.3354,Cititel Penang
313,Palmer,US,71.15,broken clouds,42.1584,-72.3287,Wedgewood Motel
315,Buraydah,SA,83.66,overcast clouds,26.326,43.975,فندق راحة السلام
316,Matamoros,MX,86.11,overcast clouds,25.5333,-103.25,Quinta Belem
317,Sao Felix Do Xingu,BR,75.69,broken clouds,-6.6447,-51.995,Rio Xingu Camping
318,Erzin,TR,70.52,few clouds,36.9559,36.2,Artemis Otel
319,Phayao,TH,80.42,overcast clouds,19.25,100.25,chuthagarden
323,Sarakhs,IR,73.44,clear sky,36.5449,61.1577,مهمان سرای شرکت گاز
324,Shimoda,JP,75.16,overcast clouds,34.6667,138.95,Shimoda Tokyu Hotel
325,Mae Hong Son,TH,80.74,few clouds,19.3003,97.9685,Baiyoke Chalet Hotel
326,Brigantine,US,88.09,clear sky,39.4101,-74.3646,Legacy Vacation Resort Brigantine Beach
327,Sampit,ID,78.19,broken clouds,-2.5333,112.95,Aquarius Boutique Hotel Sampit
328,Sabang,ID,84.25,overcast clouds,5.8933,95.3214,Hotel Citra
330,High Level,CA,71.71,scattered clouds,58.5169,-117.13600000000001,Days Inn by Wyndham High Level
334,Neiafu,TO,84.88,few clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
336,Axim,GH,79.45,scattered clouds,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
337,Belmonte,BR,75.7,broken clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
338,Kiunga,PG,78.91,overcast clouds,-6.1219,141.2906,Airport Lodge Kiunga
342,Bud,US,84.29,overcast clouds,39.446999999999996,-86.1758,Ted McQuinn Trust
350,Sao Miguel Do Araguaia,BR,80.46,broken clouds,-13.275,-50.1628,Hotel Executivo Palace
354,Karmala,IN,82.38,overcast clouds,18.4167,75.2,Hotel Ashutosh And Lodge
357,Ayotzintepec,MX,85.23,few clouds,17.6667,-96.1333,"Hotel ""Punta del Cerro"""
365,Sabha,LY,88.74,clear sky,27.0377,14.4283,Foundation Taaj Asala for Historical Research and Archeology
368,Nizwa,OM,82.33,clear sky,22.9333,57.5333,Orient Apartments
372,Bubaque,GW,78.67,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
377,Arinos,BR,74.35,broken clouds,-15.9169,-46.1056,casa do bruno
378,Jiquinlaca,HN,84.87,overcast clouds,14.0,-88.35,Hotel Plaza Colonial
383,Jibuti,DJ,80.02,broken clouds,11.5,42.5,Orchid Main Camp Goubet
385,Mato Verde,BR,78.55,broken clouds,-15.3972,-42.8664,Quality Hotel
386,Pizarro,CO,77.97,moderate rain,4.9533,-77.366,Hotel Limonar
387,Aklera,IN,85.89,broken clouds,24.4167,76.5667,hotel sangam palace
393,Tateyama,JP,77.14,overcast clouds,34.9833,139.8667,Tateyama Seaside Hotel
394,Arlit,NE,89.74,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
399,Panuco,MX,82.58,clear sky,22.05,-98.1667,Hotel Plaza
400,Tucumcari,US,86.94,few clouds,35.1717,-103.725,"Holiday Inn Express & Suites Tucumcari, an IHG Hotel"
403,Kununurra,AU,80.58,few clouds,-15.7667,128.7333,Hotel Kununurra
405,Faanui,PF,81.52,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
406,Tuban,ID,79.05,scattered clouds,-6.8976,112.0649,Hotel Mustika
407,Ipixuna,BR,75.69,overcast clouds,-1.7625,-48.8043,Casa da Oscarina
409,Lompoc,US,76.57,few clouds,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
413,Barra Do Garcas,BR,73.17,heavy intensity rain,-15.89,-52.2567,Hotel Pousada Tropical
414,Tiarei,PF,84.22,scattered clouds,-17.5333,-149.3333,Le Rocher de Tahiti
416,Kisangani,CD,70.09,overcast clouds,0.5167,25.2,Grand Ramela Hotel
418,The Valley,AI,82.26,overcast clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
421,Pampa,US,77.95,overcast clouds,35.5362,-100.9599,"Holiday Inn Express & Suites Pampa, an IHG Hotel"
424,Porbandar,IN,82.85,clear sky,21.6422,69.6093,Lords Inn Porbandar
425,Dhidhdhoo,MV,83.68,light rain,6.8833,73.1,Dhidhoo beach
427,Sakakah,SA,75.0,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
429,Bocas Del Toro,PA,79.07,overcast clouds,9.3333,-82.25,Hotel Bocas del Toro
434,Robertsport,LR,81.21,moderate rain,6.7533,-11.3686,Kwepunha Retreat
436,Tura,IN,78.42,few clouds,25.5198,90.2201,Hotel RIKMAN Continental
439,Pangkalanbuun,ID,77.22,broken clouds,-2.6833,111.6167,Grand Kecubung Hotel
448,Portobelo,PA,78.04,overcast clouds,9.55,-79.65,Scuba Portobelo
453,Sao Jose Da Coroa Grande,BR,77.38,few clouds,-8.8978,-35.1478,Crôa Mares Hotel
454,Big Spring,US,83.68,scattered clouds,32.2504,-101.4787,Hampton Inn & Suites Big Spring
458,Port Augusta,AU,73.54,overcast clouds,-32.5,137.7667,Majestic Oasis Apartments
460,Lubao,PH,88.14,clear sky,14.9167,120.55,Hacienda Gracia
462,Bolobo,CD,71.01,overcast clouds,-2.1667,16.2333,Hotel de Stephen
464,Beeville,US,81.95,scattered clouds,28.4008,-97.7483,"Holiday Inn Express & Suites Beeville, an IHG Hotel"
465,Sambava,MG,71.46,light rain,-14.2667,50.1667,Melrose
468,Maracaibo,VE,81.7,overcast clouds,10.6317,-71.6406,Motel Aladdin
469,Mabaruma,GY,77.54,broken clouds,8.2,-59.7833,Monty Brooms Guest House
471,Toccoa,US,83.79,clear sky,34.5773,-83.3324,Quality Inn
472,Oriximina,BR,78.98,broken clouds,-1.7656,-55.8661,Pousada Tia Amélia
475,Palmerston,AU,80.92,few clouds,-12.485999999999999,130.9833,Quest Palmerston - Serviced Apartments and Accommodation
476,Natchez,US,80.04,clear sky,31.5604,-91.4032,Hampton Inn & Suites Natchez
477,Bandarbeyla,SO,81.5,broken clouds,9.4942,50.8122,JABIR HOTEL
478,Maceio,BR,77.14,few clouds,-9.6658,-35.7353,Poutur Pousada
479,Tautira,PF,84.22,broken clouds,-17.7333,-149.15,Pension Oaoa
480,Sibu,MY,79.11,scattered clouds,2.3,111.8167,RH HOTEL (4 Star)
483,Shingu,JP,72.91,overcast clouds,33.7333,135.9833,Shingu UI Hotel
484,Gogapur,IN,82.13,few clouds,23.55,75.5167,विशाल देवडा
486,Alofi,NU,80.28,light rain,-19.0595,-169.9187,Taloa Heights
490,Bairiki,KI,84.2,light rain,1.3292,172.9752,Tarawa Boutique Hotel
492,Meulaboh,ID,77.4,overcast clouds,4.1363,96.1285,Kost Pria
499,Hua Hin,TH,86.0,light rain,12.5707,99.9588,InterContinental Hua Hin Resort
500,Ajdabiya,LY,76.64,clear sky,30.7554,20.2263,Almadina Hotel
501,Labuhan,ID,79.23,scattered clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
504,Knysna,ZA,75.58,broken clouds,-34.0363,23.0471,Protea Hotel by Marriott Knysna Quays
505,Hobyo,SO,78.85,overcast clouds,5.3505,48.5268,Halane Hotel and Restaurent
511,Doha,QA,87.78,clear sky,25.2867,51.5333,Movenpick Hotel Doha
513,Moindou,NC,71.55,scattered clouds,-21.6924,165.67700000000002,Gite de la RYAWA
516,Manaure,CO,83.08,overcast clouds,11.7751,-72.4445,Hotel Palaaima
517,Vila Velha,BR,76.95,clear sky,-20.3297,-40.2925,Quality Suites Vila Velha
518,Madras,IN,83.97,scattered clouds,13.0878,80.2785,City home
520,Placido De Castro,BR,74.16,broken clouds,-10.3353,-67.1856,Hotel Carioca
522,Gizo,SB,82.2,moderate rain,-8.103,156.8419,Imagination Island
523,Fomboni,KM,79.92,scattered clouds,-12.28,43.7425,Pension Paradis
526,Panacan,PH,80.71,few clouds,9.2463,118.4082,Mom's Place Resort
528,Voh,NC,75.52,scattered clouds,-20.9667,164.7,Le gîte du Koniambo
530,Cabedelo,BR,75.87,broken clouds,-6.9811,-34.8339,Hotel Pigalle
533,Nago,JP,84.63,broken clouds,26.5881,127.9761,Hotel Yugaf Inn Okinawa
534,Balabac,PH,83.55,overcast clouds,7.9868,117.0645,Sing and Swing Lodge
536,Athabasca,CA,70.21,overcast clouds,54.7169,-113.2854,Athabasca Lodge Motel
538,Papar,MY,78.8,overcast clouds,5.7333,115.9333,Koposizon Homestay
540,Hun,LY,84.33,clear sky,29.1268,15.9477,Alrwasi Hotel
542,Natal,BR,77.56,clear sky,-5.795,-35.2094,Villa Park Hotel | Natal
543,Kimbe,PG,84.9,light rain,-5.5502,150.1429,Kimbe Bay Hotel
544,Point Pedro,LK,84.33,overcast clouds,9.8167,80.2333,Gtr homes
547,Pacific Grove,US,73.38,clear sky,36.6177,-121.9166,Lovers Point Inn
551,Farmington,US,71.78,clear sky,36.7281,-108.2187,Courtyard by Marriott Farmington
553,Campoverde,PE,76.69,broken clouds,-8.4753,-74.8058,Hospedaje Coral's
